"Var1" "Freq"
"1" "1103" 1919
"2" "1107" 475
"3" "1108" 75
"4" "1109" 9
"5" "1112" 84
"6" "1113" 467
"7" "1117" 171
"8" "1126" 764
"9" "1132" 49
"10" "1135" 596
"11" "1136" 255
"12" "1137" 119
"13" "1138" 625
"14" "1139" 403
"15" "1141" 601
"16" "1147" 132
"17" "1149" 16
"18" "1151" 189
"19" "1155" 273
"20" "1157" 168
"21" "1158" 749
"22" "1159" 638
"23" "1161" 486
"24" "1165" 12
"25" "1167" 33
"26" "1172" 5
"27" "1175" 396
"28" "1176" 239
"29" "1180" 34
"30" "1181" 187
"31" "1182" 123
"32" "2107" 365
"33" "2108" 517
"34" "2110" 166
"35" "2111" 1066
"36" "2112" 1603
"37" "2113" 507
"38" "2114" 312
"39" "2116" 100
"40" "3007" 226
"41" "3011" 235
"42" "3012" 278
"43" "3013" 26
"44" "3014" 91
"45" "3015" 32
"46" "3018" 247
"47" "3019" 198
"48" "3020" 106
"49" "3021" 641
"50" "3022" 658
"51" "3023" 301
"52" "3024" 610
"53" "3026" 98
"54" "3028" 659
"55" "3029" 303
"56" "3031" 330
"57" "3032" 380
"58" "3035" 216
"59" "3037" 209
"60" "1101" 0
"61" "1102" 0
"62" "1104" 0
"63" "1105" 0
"64" "1106" 0
"65" "1110" 0
"66" "1111" 0
"67" "1114" 0
"68" "1115" 0
"69" "1116" 0
"70" "1118" 0
"71" "1119" 0
"72" "1120" 0
"73" "1122" 0
"74" "1123" 0
"75" "1125" 0
"76" "1127" 0
"77" "1128" 0
"78" "1129" 0
"79" "1130" 0
"80" "1131" 0
"81" "1133" 0
"82" "1142" 0
"83" "1143" 0
"84" "1146" 0
"85" "1150" 0
"86" "1152" 0
"87" "1153" 0
"88" "1154" 0
"89" "1156" 0
"90" "1160" 0
"91" "1162" 0
"92" "1163" 0
"93" "1164" 0
"94" "1166" 0
"95" "1168" 0
"96" "1169" 0
"97" "1170" 0
"98" "1171" 0
"99" "1173" 0
"100" "1174" 0
"101" "1178" 0
"102" "1179" 0
"103" "2101" 0
"104" "2102" 0
"105" "2103" 0
"106" "2104" 0
"107" "2105" 0
"108" "2106" 0
"109" "2109" 0
"110" "2115" 0
"111" "2117" 0
"112" "2118" 0
"113" "2120" 0
"114" "2121" 0
"115" "2122" 0
"116" "2123" 0
"117" "2124" 0
"118" "3001" 0
"119" "3002" 0
"120" "3003" 0
"121" "3004" 0
"122" "3005" 0
"123" "3006" 0
"124" "3008" 0
"125" "3009" 0
"126" "3010" 0
"127" "3016" 0
"128" "3017" 0
"129" "3025" 0
"130" "3027" 0
"131" "3030" 0
"132" "3033" 0
"133" "3034" 0
"134" "3039" 0
